Time,X-coordinate,Y-coordinate
3.550000000000000266e+00,1.438215739803045068e+00,-1.189390030777727203e+00
3.560000000000000053e+00,1.550857506069057479e+00,-1.253815403789629634e+00
3.570000000000000284e+00,1.654305987058333205e+00,-1.288084466753169233e+00
3.580000000000000071e+00,1.740489161890465875e+00,-1.294548343955858716e+00
3.589999999999999858e+00,1.802963877837386875e+00,-1.277505776108898372e+00
3.600000000000000089e+00,1.836856927905862857e+00,-1.242000831323957666e+00
3.609999999999999876e+00,1.838383444837035308e+00,-1.193038534880656254e+00
3.620000000000000107e+00,1.804204772358819264e+00,-1.135265944921399095e+00
3.629999999999999893e+00,1.730858964242632414e+00,-1.073010872942999017e+00
3.640000000000000124e+00,1.614364824801768350e+00,-1.010546675032963915e+00
3.649999999999999911e+00,1.449990033510498044e+00,-9.525432596634048066e-01
3.660000000000000142e+00,1.232158056974559379e+00,-9.048727585445182076e-01
3.669999999999999929e+00,9.546235665552067484e-01,-8.764798821095181047e-01
3.680000000000000160e+00,6.120017458357061013e-01,-8.854626708217376851e-01
3.689999999999999947e+00,2.172065013304141923e-01,-9.975651876863899092e-01
3.700000000000000178e+00,-2.764914761328360338e-01,-1.041539304035465907e+00
3.709999999999999964e+00,-6.767633511975330585e-01,-9.003837216100190055e-01
3.720000000000000195e+00,-9.374803321105317222e-01,-6.676642954882220371e-01
3.729999999999999982e+00,-1.054979943151839850e+00,-4.206641544387913489e-01
